label,in_greenhouse,temp_min,temp_max,humidity_min,humidity_max,co2_min,co2_max,soil_moisture_min,soil_moisture_max,soil_moisture_mean,ph_min,ph_max,N_mean,P_mean,K_mean,rainfall_mm,soil_source,co2_source
lentil,True,20.06486101,32.944138609999996,60.09116626,69.92375891,424,1386,17.9,36.0,27.0,5.91645379,7.841496029,18.77,68.36,19.41,45.680454204,DS2_global_fallback,DS3_sensor_baseline
maize,False,18.04185513,26.54986394,55.28220433,74.82913698,400,450,10.22,44.69,26.58072072072072,5.513697923,6.995843776,77.76,48.44,19.79,84.766987663,DS2_per_crop,ambient_standard
maize,True,20.04185513,29.54986394,55.28220433,74.82913698,424,1386,10.22,44.69,26.58072072072072,5.513697923,6.995843776,77.76,48.44,19.79,84.766987663,DS2_per_crop,DS3_sensor_baseline
mango,False,27.00315545,35.99009679,45.02236377,54.9640534,400,450,17.9,36.0,27.0,4.507523551,6.9674177660000005,20.07,27.18,29.92,94.70451504479999,DS2_global_fallback,ambient_standard
mango,True,29.00315545,38.99009679,45.02236377,54.9640534,424,1386,17.9,36.0,27.0,4.507523551,6.9674177660000005,20.07,27.18,29.92,94.70451504479999,DS2_global_fallback,DS3_sensor_baseline
mothbeans,False,24.01825377,31.99928579,40.00933429,64.95585424,400,450,17.9,36.0,27.0,3.504752314,9.93509073,21.44,48.01,20.23,51.198487045700006,DS2_global_fallback,ambient_standard
mothbeans,True,26.01825377,34.99928579,40.00933429,64.95585424,424,1386,17.9,36.0,27.0,3.504752314,9.93509073,21.44,48.01,20.23,51.198487045700006,DS2_global_fallback,DS3_sensor_baseline
mungbean,False,27.01470397,29.914544300000006,80.03499648,89.99615558,400,450,17.9,36.0,27.0,6.218923893,7.199495367999999,20.99,47.28,19.87,48.403600902899996,DS2_global_fallback,ambient_standard
mungbean,True,29.01470397,32.9145443,80.03499648,89.99615558,424,1386,17.9,36.0,27.0,6.218923893,7.199495367999999,20.99,47.28,19.87,48.403600902899996,DS2_global_fallback,DS3_sensor_baseline
muskmelon,False,27.02415146,29.94349168,90.01506395,94.96218673,400,450,17.9,36.0,27.0,6.002927293,6.781050372999999,100.32,17.72,50.08,24.689952066,DS2_global_fallback,ambient_standard
muskmelon,True,29.02415146,32.94349168,90.01506395,94.96218673,424,1386,17.9,36.0,27.0,6.002927293,6.781050372999999,100.32,17.72,50.08,24.689952066,DS2_global_fallback,DS3_sensor_baseline
orange,False,10.01081312,34.90665289,90.00621688,94.96419851,400,450,17.9,36.0,27.0,6.010391864,7.995848977,19.58,16.55,10.01,110.47496871999999,DS2_global_fallback,ambient_standard
orange,True,12.01081312,37.90665289,90.00621688,94.96419851,424,1386,17.9,36.0,27.0,6.010391864,7.995848977,19.58,16.55,10.01,110.47496871999999,DS2_global_fallback,DS3_sensor_baseline
papaya,False,23.012401800000006,43.67549305,90.03863107,94.94482086,400,450,17.9,36.0,27.0,6.501521192,6.993473247000001,49.88,59.05,50.04,142.6278388629,DS2_global_fallback,ambient_standard
papaya,True,25.012401800000006,46.67549305,90.03863107,94.94482086,424,1386,17.9,36.0,27.0,6.501521192,6.993473247000001,49.88,59.05,50.04,142.6278388629,DS2_global_fallback,DS3_sensor_baseline
pigeonpeas,False,18.31910448,36.97794384,30.40046769,69.69141302,400,450,17.9,36.0,27.0,4.548202098,7.445444882999999,20.73,67.73,20.29,149.4575638135,DS2_global_fallback,ambient_standard
pigeonpeas,True,20.31910448,39.97794384,30.40046769,69.69141302,424,1386,17.9,36.0,27.0,4.548202098,7.445444882999999,20.73,67.73,20.29,149.4575638135,DS2_global_fallback,DS3_sensor_baseline
pomegranate,False,18.07132963,24.96273236,85.12912161,94.99897537,400,450,17.9,36.0,27.0,5.561851831,7.199504273,18.87,18.75,40.21,107.52844239699999,DS2_global_fallback,ambient_standard
pomegranate,True,20.07132963,27.96273236,85.12912161,94.99897537,424,1386,17.9,36.0,27.0,5.561851831,7.199504273,18.87,18.75,40.21,107.52844239699999,DS2_global_fallback,DS3_sensor_baseline
rice,False,20.0454142,26.92995077,80.12267476,84.96907151,400,450,10.25,44.91,27.43841463414634,5.005306977,7.868474653,79.89,47.58,39.87,236.181113594,DS2_per_crop,ambient_standard
rice,True,22.0454142,29.92995077,80.12267476,84.96907151,424,1386,10.25,44.91,27.43841463414634,5.005306977,7.868474653,79.89,47.58,39.87,236.181113594,DS2_per_crop,DS3_sensor_baseline
watermelon,False,24.04355803,26.98603693,80.02621335,89.98405233,400,450,17.9,36.0,27.0,6.000975617000001,6.956508826,99.42,17.0,50.22,50.7862189449,DS2_global_fallback,ambient_standard
watermelon,True,26.04355803,29.98603693,80.02621335,89.98405233,424,1386,17.9,36.0,27.0,6.000975617000001,6.956508826,99.42,17.0,50.22,50.7862189449,DS2_global_fallback,DS3_sensor_baseline
